ID;Filename;Utterance start time;Estimated Lexical Match
0006_VAZ;VF-003-20170316120603.wav;38;drab
0006_VAZ;VF-003-20170316120603.wav;44;direktør
0006_VAZ;VF-003-20170316120603.wav;48;danmark
0006_VAZ;VF-003-20170316120603.wav;52;daske
0006_VAZ;VF-003-20170316120603.wav;57;dyr
0006_VAZ;VF-003-20170316133309.wav;1;lov
0006_VAZ;VF-003-20170316133309.wav;2;løve
0006_VAZ;VF-003-20170316133309.wav;4;livet
0006_VAZ;VF-003-20170316133309.wav;7;løs
0006_VAZ;VF-003-20170316133309.wav;9;luksus
0006_VAZ;VF-003-20170316133309.wav;12;lejrbål
0006_VAZ;VF-003-20170316133309.wav;16;lexus
0006_VAZ;VF-003-20170316133309.wav;19;larm
0006_VAZ;VF-003-20170316133309.wav;24;løs
0006_VAZ;VF-003-20170316133309.wav;28;liv
0006_VAZ;VF-003-20170316133309.wav;30;løvehjerte
0006_VAZ;VF-003-20170316133309.wav;34;lovgivning
0006_VAZ;VF-003-20170316133309.wav;38;læs
0006_VAZ;VF-003-20170316133309.wav;45;lov
0006_VAZ;VF-003-20170316133309.wav;47;lost
0006_VAZ;VF-003-20170316133309.wav;51;ledning
0006_VAZ;VF-003-20170316133309.wav;54;læsehest
0006_VAZ;VF-003-20170316133309.wav;59;læskedrik
