ID,Filename,Utterance start time,Estimated Lexical Match,Certainty,Target Letter,Audio Quality Comment,Cluster Status,Cluster ID,curve_c,curve_m,Condition,avg_sim,avg_phon_sim
0006_VAZ,VF-001-20170316133043.wav,11,frost,2.0,f,high,0,2,21.04443265196489,0.0209053289726812,3,0.7790707,0.75
0006_VAZ,VF-001-20170316133043.wav,12,fisk,2.0,f,high,1,2,21.04443265196489,0.0209053289726812,3,0.7790707,0.75
0006_VAZ,VF-001-20170316133043.wav,16,flamberet,3.0,f,high,0,3,21.04443265196489,0.0209053289726812,3,0.7943142,0.5555555555555555
0006_VAZ,VF-001-20170316133043.wav,18,føj,3.0,f,high,1,3,21.04443265196489,0.0209053289726812,3,0.7943142,0.5555555555555555
0006_VAZ,VF-001-20170316133043.wav,44,fremmed,2.0,f,high,0,4,21.04443265196489,0.0209053289726812,3,0.5717102,0.8074074074074075
0006_VAZ,VF-001-20170316133043.wav,46,fri,3.0,f,high,1,4,21.04443265196489,0.0209053289726812,3,0.5717102,0.8074074074074075
0006_VAZ,VF-001-20170316133043.wav,51,frikadeller,3.0,f,high,1,4,21.04443265196489,0.0209053289726812,3,0.5717102,0.8074074074074075
0006_VAZ,VF-001-20170316133043.wav,55,forår,3.0,f,high,1,4,21.04443265196489,0.0209053289726812,3,0.5717102,0.8074074074074075
0006_VAZ,VF-002-20170316103815.wav,1,protokol,3.0,p,high,0,1,12.407187607401047,0.0770336881527821,1,0.8297059,0.7866666666666667
0006_VAZ,VF-002-20170316103815.wav,2,projekt,3.0,p,high,1,1,12.407187607401047,0.0770336881527821,1,0.8297059,0.7866666666666667
0006_VAZ,VF-002-20170316103815.wav,4,poul,3.0,p,high,0,2,12.407187607401047,0.0770336881527821,1,0.8762188,0.6666666666666666
0006_VAZ,VF-002-20170316103815.wav,5,per,3.0,p,high,1,2,12.407187607401047,0.0770336881527821,1,0.8762188,0.6666666666666666
0006_VAZ,VF-002-20170316103815.wav,9,persienner,3.0,p,high,0,3,12.407187607401047,0.0770336881527821,1,0.750231,0.837037037037037
0006_VAZ,VF-002-20170316103815.wav,11,pas,3.0,p,high,1,3,12.407187607401047,0.0770336881527821,1,0.750231,0.837037037037037
0006_VAZ,VF-002-20170316103815.wav,13,passer,3.0,p,high,1,3,12.407187607401047,0.0770336881527821,1,0.750231,0.837037037037037
0006_VAZ,VF-002-20170316103815.wav,17,politi,3.0,p,high,0,4,12.407187607401047,0.0770336881527821,1,0.83085823,0.5111111111111111
0006_VAZ,VF-002-20170316103815.wav,18,projekt,3.0,p,high,1,4,12.407187607401047,0.0770336881527821,1,0.83085823,0.5111111111111111
0006_VAZ,VF-002-20170316103815.wav,41,pris,3.0,p,high,0,5,12.407187607401047,0.0770336881527821,1,0.77789456,0.6222222222222221
0006_VAZ,VF-002-20170316103815.wav,53,protokol,3.0,p,high,1,5,12.407187607401047,0.0770336881527821,1,0.77789456,0.6222222222222221
0006_VAZ,VF-002-20170316103815.wav,59,pap,3.0,p,high,1,5,12.407187607401047,0.0770336881527821,1,0.77789456,0.6222222222222221
0006_VAZ,VF-002-20170316120450.wav,2,taxa,3.0,t,high,0,1,25.379778605097304,0.0198729137422215,2,0.7531254,0.6091666666666666
0006_VAZ,VF-002-20170316120450.wav,4,trække,3.0,t,high,1,1,25.379778605097304,0.0198729137422215,2,0.7531254,0.6091666666666666
0006_VAZ,VF-002-20170316120450.wav,6,tunge,3.0,t,high,1,1,25.379778605097304,0.0198729137422215,2,0.7531254,0.6091666666666666
0006_VAZ,VF-002-20170316120450.wav,8,taffel,3.0,t,high,1,1,25.379778605097304,0.0198729137422215,2,0.7531254,0.6091666666666666
0006_VAZ,VF-002-20170316120450.wav,10,trøffel,3.0,t,high,1,1,25.379778605097304,0.0198729137422215,2,0.7531254,0.6091666666666666
0006_VAZ,VF-002-20170316120450.wav,17,tandem,3.0,t,high,0,2,25.379778605097304,0.0198729137422215,2,0.8161041,0.5277777777777778
0006_VAZ,VF-002-20170316120450.wav,19,teresse,3.0,t,high,1,2,25.379778605097304,0.0198729137422215,2,0.8161041,0.5277777777777778
0006_VAZ,VF-002-20170316120450.wav,22,tank,3.0,t,high,0,3,25.379778605097304,0.0198729137422215,2,0.7288924,0.8222222222222222
0006_VAZ,VF-002-20170316120450.wav,25,tennis,3.0,t,high,1,3,25.379778605097304,0.0198729137422215,2,0.7288924,0.8222222222222222
0006_VAZ,VF-002-20170316120450.wav,30,trambolin,3.0,t,high,0,4,25.379778605097304,0.0198729137422215,2,0.85089,0.5
0006_VAZ,VF-002-20170316120450.wav,32,taske,3.0,t,high,1,4,25.379778605097304,0.0198729137422215,2,0.85089,0.5
0006_VAZ,VF-002-20170316120450.wav,46,træmmer,3.0,t,high,0,5,25.379778605097304,0.0198729137422215,2,0.7953831,0.7092592592592593
0006_VAZ,VF-002-20170316120450.wav,51,taske,3.0,t,high,1,5,25.379778605097304,0.0198729137422215,2,0.7953831,0.7092592592592593
0006_VAZ,VF-002-20170316120450.wav,56,terin,1.0,t,high,1,5,25.379778605097304,0.0198729137422215,2,0.7953831,0.7092592592592593
0006_VAZ,VF-002-20170316120450.wav,59,trusser,3.0,t,high,1,5,25.379778605097304,0.0198729137422215,2,0.7953831,0.7092592592592593
0006_VAZ,VF-002-20170316133156.wav,2,billiard,3.0,b,high,0,1,41.32000117412053,0.0084821466851968,3,0.72167236,0.6333333333333333
0006_VAZ,VF-002-20170316133156.wav,4,børnehave,3.0,b,high,1,1,41.32000117412053,0.0084821466851968,3,0.72167236,0.6333333333333333
0006_VAZ,VF-002-20170316133156.wav,11,bærepose,3.0,b,high,0,2,41.32000117412053,0.0084821466851968,3,0.7562615,0.7777777777777778
0006_VAZ,VF-002-20170316133156.wav,14,,,b,high,1,2,41.32000117412053,0.0084821466851968,3,0.7562615,0.7777777777777778
